epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,803.175,0.83483,1.19962,1.39791,0.52464,0.87344,0.66391,0.468,1.44034,2.56267,3.28977,0.00073025,0.00073025,0.00073025
44,817.147,0.61701,0.88598,1.1869,0.58596,0.69624,0.57579,0.42211,1.54174,3.03255,2.95972,0.000717875,0.000717875,0.000717875
45,831.139,0.66244,0.80529,1.0895,0.58596,0.69624,0.57579,0.42211,1.54174,3.03255,2.95972,0.0007055,0.0007055,0.0007055
46,845.291,0.61559,0.76641,1.05177,0.58596,0.69624,0.57579,0.42211,1.54174,3.03255,2.95972,0.000693125,0.000693125,0.000693125
47,859.536,0.52135,0.8356,1.14087,0.32807,0.625,0.28222,0.227,1.8776,3.56368,3.077,0.00068075,0.00068075,0.00068075
48,874.188,0.74804,1.02792,1.28229,0.32807,0.625,0.28222,0.227,1.8776,3.56368,3.077,0.000668375,0.000668375,0.000668375
49,891.536,0.68437,0.87709,1.25416,0.56534,0.375,0.41183,0.34016,1.95327,3.62559,3.36721,0.000656,0.000656,0.000656
50,913.297,0.5197,0.75859,1.0934,0.56534,0.375,0.41183,0.34016,1.95327,3.62559,3.36721,0.000643625,0.000643625,0.000643625
51,930.012,0.75954,0.94214,1.28677,0.56534,0.375,0.41183,0.34016,1.95327,3.62559,3.36721,0.00063125,0.00063125,0.00063125
52,946.976,0.6608,0.80458,1.12513,0.85325,0.25,0.39752,0.33519,1.80738,3.94891,3.10765,0.000618875,0.000618875,0.000618875
53,962.586,0.57509,0.69333,1.1484,0.85325,0.25,0.39752,0.33519,1.80738,3.94891,3.10765,0.0006065,0.0006065,0.0006065
54,977.633,0.56016,0.76575,1.12286,0.85325,0.25,0.39752,0.33519,1.80738,3.94891,3.10765,0.000594125,0.000594125,0.000594125
55,992.923,0.67181,0.80387,1.10218,0.59956,0.375,0.46199,0.33293,1.46919,3.30701,2.84243,0.00058175,0.00058175,0.00058175
56,1008.21,0.53867,0.77335,1.04834,0.59956,0.375,0.46199,0.33293,1.46919,3.30701,2.84243,0.000569375,0.000569375,0.000569375
57,1022.44,0.64621,0.8412,1.17847,0.54804,0.625,0.41072,0.27373,1.36618,3.19747,2.6861,0.000557,0.000557,0.000557
58,1036.63,0.51698,0.74085,1.0444,0.54804,0.625,0.41072,0.27373,1.36618,3.19747,2.6861,0.000544625,0.000544625,0.000544625
59,1050.89,0.48663,0.70543,1.06176,0.54804,0.625,0.41072,0.27373,1.36618,3.19747,2.6861,0.00053225,0.00053225,0.00053225
60,1065.35,0.54155,0.77229,1.05348,0.5315,0.625,0.55516,0.4354,1.13234,3.05245,2.45943,0.000519875,0.000519875,0.000519875
61,1080.18,0.60848,0.78509,1.17401,0.5315,0.625,0.55516,0.4354,1.13234,3.05245,2.45943,0.0005075,0.0005075,0.0005075
62,1095.08,0.69192,0.85291,1.20209,0.5315,0.625,0.55516,0.4354,1.13234,3.05245,2.45943,0.000495125,0.000495125,0.000495125
63,1109.72,0.66978,0.78799,1.22464,0.50334,0.56527,0.52723,0.40513,1.02875,2.7413,2.08706,0.00048275,0.00048275,0.00048275
64,1124.33,0.6669,0.81756,1.18203,0.50334,0.56527,0.52723,0.40513,1.02875,2.7413,2.08706,0.000470375,0.000470375,0.000470375
65,1138.67,0.5381,0.7028,1.07724,0.41147,0.625,0.50909,0.37969,1.10404,2.79743,2.01266,0.000458,0.000458,0.000458
66,1153.08,0.44054,0.95357,0.98461,0.41147,0.625,0.50909,0.37969,1.10404,2.79743,2.01266,0.000445625,0.000445625,0.000445625
67,1167.28,0.67252,0.73512,1.0771,0.41147,0.625,0.50909,0.37969,1.10404,2.79743,2.01266,0.00043325,0.00043325,0.00043325
68,1181.57,0.56772,0.65753,1.14114,0.39026,0.59179,0.4942,0.40373,1.07894,2.67658,1.96118,0.000420875,0.000420875,0.000420875
69,1195.97,0.64624,0.72513,1.15421,0.39026,0.59179,0.4942,0.40373,1.07894,2.67658,1.96118,0.0004085,0.0004085,0.0004085
70,1210.27,0.50091,0.62211,1.04951,0.39026,0.59179,0.4942,0.40373,1.07894,2.67658,1.96118,0.000396125,0.000396125,0.000396125
71,1224.47,0.43973,0.54687,1.01691,0.82586,0.5,0.58256,0.45308,0.97257,2.94631,2.04511,0.00038375,0.00038375,0.00038375
72,1238.52,0.54766,0.69013,1.08896,0.82586,0.5,0.58256,0.45308,0.97257,2.94631,2.04511,0.000371375,0.000371375,0.000371375
73,1253.13,0.55022,0.64413,1.08584,0.83091,0.49273,0.60042,0.41481,1.15836,3.12201,2.11351,0.000359,0.000359,0.000359
74,1267.57,0.55258,0.74419,1.09206,0.83091,0.49273,0.60042,0.41481,1.15836,3.12201,2.11351,0.000346625,0.000346625,0.000346625
75,1281.94,0.75218,0.88169,1.30451,0.83091,0.49273,0.60042,0.41481,1.15836,3.12201,2.11351,0.00033425,0.00033425,0.00033425
76,1296.29,0.54218,0.72337,1.02971,0.83175,0.49526,0.59791,0.39207,1.3346,2.9185,2.40523,0.000321875,0.000321875,0.000321875
77,1310.62,0.52511,0.88063,1.06193,0.83175,0.49526,0.59791,0.39207,1.3346,2.9185,2.40523,0.0003095,0.0003095,0.0003095
78,1324.94,0.51875,0.53018,1.02067,0.83175,0.49526,0.59791,0.39207,1.3346,2.9185,2.40523,0.000297125,0.000297125,0.000297125
79,1339.15,0.53402,0.54424,1.11092,0.71962,0.625,0.62601,0.45255,1.37707,2.63338,2.84112,0.00028475,0.00028475,0.00028475
80,1353.29,0.50843,0.69926,1.06893,0.71962,0.625,0.62601,0.45255,1.37707,2.63338,2.84112,0.000272375,0.000272375,0.000272375
81,1367.34,0.55255,0.68647,1.03406,0.54894,0.73581,0.66553,0.53531,1.36045,2.56368,3.00545,0.00026,0.00026,0.00026
